category,macro_cat,checkin_count,unique_venues
Train Station,Transportation,200428,1299
Subway,Transportation,41666,431
Ramen /  Noodle House,Food & Drink,17303,3609
Convenience Store,Shopping,16833,3177
Japanese Restaurant,Food & Drink,15680,5555
Bar,Food & Drink,14940,4048
Food & Drink Shop,Food & Drink,14023,2136
Electronics Store,Shopping,10897,353
Mall,Shopping,10839,473
Coffee Shop,Food & Drink,8959,1167
Office,Work,8789,1120
Café,Food & Drink,8603,2190
Bridge,Transportation,8162,815
Bus Station,Transportation,7965,1161
Road,Transportation,7528,1094
Bookstore,Shopping,7418,632
Park,Outdoors & Recreation,7247,942
Fast Food Restaurant,Food & Drink,6806,1078
Arcade,Entertainment,6153,271
College Academic Building,Education,5981,599
Government Building,Other,5116,671
Building,Other,5036,582
Chinese Restaurant,Food & Drink,4718,1607
Hobby Shop,Shopping,4648,295
Miscellaneous Shop,Shopping,4549,853
Department Store,Shopping,4152,185
University,Education,3486,232
Gym / Fitness Center,Outdoors & Recreation,3486,314
Other Great Outdoors,Outdoors & Recreation,3298,609
Medical Center,Health & Medical,3280,1115
Home (private),Lodging & Residential,3106,225
Italian Restaurant,Food & Drink,3029,1164
Light Rail,Transportation,2985,83
Restaurant,Food & Drink,2921,1020
Clothing Store,Shopping,2920,1006
Airport,Transportation,2902,158
Movie Theater,Entertainment,2763,134
Shrine,Outdoors & Recreation,2696,341
Indian Restaurant,Food & Drink,2639,705
Convention Center,Work,2229,144
Event Space,Work,2209,349
Drugstore / Pharmacy,Health & Medical,2041,693
Music Venue,Entertainment,1909,340
Hotel,Lodging & Residential,1902,350
Diner,Food & Drink,1851,561
Video Store,Shopping,1761,197
BBQ Joint,Food & Drink,1738,738
Sushi Restaurant,Food & Drink,1679,592
Concert Hall,Entertainment,1633,110
Plaza,Outdoors & Recreation,1490,98
Record Shop,Shopping,1474,114
Stadium,Entertainment,1469,59
Temple,Outdoors & Recreation,1449,316
Toy / Game Store,Shopping,1401,125
Bank,Other,1359,537
Mobile Phone Shop,Shopping,1340,329
Post Office,Other,1291,360
Burger Joint,Food & Drink,1289,221
Bakery,Food & Drink,1264,458
General Entertainment,Entertainment,1250,193
Furniture / Home Store,Shopping,1192,247
Spa / Massage,Health & Medical,1100,321
Playground,Outdoors & Recreation,1089,286
Library,Education,1085,178
Historic Site,Entertainment,1070,229
Sculpture Garden,Entertainment,985,54
Deli / Bodega,Food & Drink,954,327
Asian Restaurant,Food & Drink,951,383
Art Gallery,Entertainment,904,275
Smoke Shop,Shopping,902,135
Dessert Shop,Food & Drink,893,424
Dumpling Restaurant,Food & Drink,891,113
Salon / Barbershop,Health & Medical,825,414
Bowling Alley,Entertainment,811,47
Steakhouse,Food & Drink,802,334
Gas Station / Garage,Transportation,792,224
School,Education,783,212
Athletic & Sport,Outdoors & Recreation,780,214
Parking,Transportation,774,155
Sporting Goods Shop,Shopping,772,227
High School,Education,764,153
